running CH on OSM 1
Preprocessing complete. 381 shortcuts added.
Upward Edge from 119 to 99 (ID: 243, Cost: 1)
Upward Edge from 120 to 142 (ID: 290, Cost: 1)
Upward Edge from 120 to 100 (ID: 245, Cost: 1)
Upward Edge from 121 to 143 (ID: 292, Cost: 1)
Upward Edge from 121 to 100 (ID: 247, Cost: 1)
Upward Edge from 123 to 146 (ID: 300, Cost: 1)
Upward Edge from 123 to 101 (ID: 251, Cost: 1)
Upward Edge from 124 to 100 (ID: 1467, Cost: 3)
Upward Edge from 124 to 70 (ID: 1452, Cost: 3)
Upward Edge from 125 to 144 (ID: 304, Cost: 1)
Upward Edge from 125 to 104 (ID: 255, Cost: 1)
Upward Edge from 126 to 147 (ID: 306, Cost: 1)
Upward Edge from 126 to 104 (ID: 257, Cost: 1)
Upward Edge from 127 to 85 (ID: 1144, Cost: 2)
Upward Edge from 128 to 140 (ID: 1840, Cost: 9)
Upward Edge from 128 to 122 (ID: 1838, Cost: 8)
Upward Edge from 128 to 104 (ID: 1822, Cost: 5)
Upward Edge from 129 to 49 (ID: 1611, Cost: 5)
Upward Edge from 129 to 107 (ID: 263, Cost: 1)
Upward Edge from 130 to 91 (ID: 1146, Cost: 2)
Upward Edge from 131 to 91 (ID: 1148, Cost: 2)
Upward Edge from 132 to 202 (ID: 1634, Cost: 6)
Upward Edge from 132 to 128 (ID: 1630, Cost: 7)
Upward Edge from 132 to 64 (ID: 1613, Cost: 4)
Upward Edge from 133 to 156 (ID: 324, Cost: 1)
Upward Edge from 133 to 112 (ID: 273, Cost: 1)
Upward Edge from 134 to 178 (ID: 1183, Cost: 2)
Upward Edge from 134 to 113 (ID: 275, Cost: 1)
Upward Edge from 135 to 159 (ID: 330, Cost: 1)
Upward Edge from 135 to 113 (ID: 277, Cost: 1)
Upward Edge from 136 to 206 (ID: 1492, Cost: 3)
Upward Edge from 136 to 79 (ID: 1458, Cost: 3)
Upward Edge from 137 to 306 (ID: 1775, Cost: 7)
Upward Edge from 137 to 17 (ID: 1748, Cost: 26)
Upward Edge from 138 to 99 (ID: 1756, Cost: 2)
Upward Edge from 138 to 269 (ID: 1685, Cost: 7)
Upward Edge from 139 to 164 (ID: 340, Cost: 1)
Upward Edge from 139 to 118 (ID: 285, Cost: 1)
Upward Edge from 140 to 122 (ID: 295, Cost: 1)
Upward Edge from 141 to 119 (ID: 289, Cost: 1)
Upward Edge from 142 to 100 (ID: 1154, Cost: 2)
Upward Edge from 142 to 124 (ID: 303, Cost: 1)
Upward Edge from 143 to 188 (ID: 1191, Cost: 2)
Upward Edge from 143 to 100 (ID: 1156, Cost: 2)
Upward Edge from 144 to 104 (ID: 1160, Cost: 2)
Upward Edge from 144 to 122 (ID: 297, Cost: 1)
Upward Edge from 145 to 168 (ID: 348, Cost: 1)
Upward Edge from 145 to 122 (ID: 299, Cost: 1)
Upward Edge from 146 to 101 (ID: 1158, Cost: 2)
Upward Edge from 147 to 252 (ID: 1766, Cost: 4)
Upward Edge from 147 to 251 (ID: 1761, Cost: 4)
Upward Edge from 147 to 104 (ID: 1162, Cost: 2)
Upward Edge from 148 to 127 (ID: 309, Cost: 1)
Upward Edge from 149 to 172 (ID: 356, Cost: 1)
Upward Edge from 149 to 128 (ID: 311, Cost: 1)
Upward Edge from 150 to 173 (ID: 358, Cost: 1)
Upward Edge from 150 to 128 (ID: 313, Cost: 1)
Upward Edge from 151 to 174 (ID: 360, Cost: 1)
Upward Edge from 151 to 128 (ID: 315, Cost: 1)
Upward Edge from 152 to 175 (ID: 362, Cost: 1)
Upward Edge from 152 to 129 (ID: 317, Cost: 1)
Upward Edge from 153 to 131 (ID: 319, Cost: 1)
Upward Edge from 154 to 176 (ID: 364, Cost: 1)
Upward Edge from 154 to 132 (ID: 321, Cost: 1)
Upward Edge from 155 to 177 (ID: 366, Cost: 1)
Upward Edge from 155 to 132 (ID: 323, Cost: 1)
Upward Edge from 156 to 112 (ID: 1164, Cost: 2)
Upward Edge from 157 to 178 (ID: 368, Cost: 1)
Upward Edge from 157 to 134 (ID: 327, Cost: 1)
Upward Edge from 158 to 134 (ID: 329, Cost: 1)
Upward Edge from 159 to 113 (ID: 1166, Cost: 2)
Upward Edge from 159 to 179 (ID: 370, Cost: 1)
Upward Edge from 160 to 180 (ID: 372, Cost: 1)
Upward Edge from 160 to 136 (ID: 333, Cost: 1)
Upward Edge from 161 to 181 (ID: 374, Cost: 1)
